    delta_RA   delta_DEC
   -0.0309     -0.0806
    0.0329     -0.0633
    0.0064     -0.0619
    0.1409     -0.2010
    0.0136     -0.6431
    0.0435      0.1026
   -0.0658      0.1965
    0.0952      0.4488
   -0.1330      0.1448
   -0.0254      0.0181
   -0.0264     -0.0266
   -0.1150      0.0743
    0.0079      0.0730
    0.0198     -0.0250
    0.0179      0.0517
    0.0059      0.0153
    0.0706     -0.3269
    0.1956      0.2925
    0.0404      0.0662
    0.0689     -0.2970
   -0.9000      0.4877
    0.1059     -0.3022
    0.1652     -0.0729
    0.1390     -0.2193
   -0.0520     -0.0424
   -0.0079     -1.5276
   -0.0999     -0.2108
    0.0125      0.0467
   -0.0643      0.1143
    0.0030     -0.1324
   -0.1055      0.0555
    0.1037      0.1230
    0.0575      0.1331
    0.0887     -0.2447
   -0.2310     -0.1464
   -0.0759     -0.1679
    0.1235     -0.2445
   -0.0952      0.1126
    0.0661     -0.2923
   -0.0498     -0.0481
    0.2093      0.0920
    0.1993     -0.1297
   -0.0326      0.0215
   -0.1149     -0.4265
   -0.0204      0.2755
    0.2053      0.0973
   -0.0015     -0.1635
    0.0575     -0.7559
   -0.0021     -0.0931
   -0.0372      0.1122
    0.0681     -0.0505
    0.0792     -0.0493
    0.1549     -0.1352
   -0.0522      0.1382
    0.5927     -1.2425
    0.0899     -0.0689
    0.0404     -0.1835
   -0.1373     -0.3270
    0.5347     -0.2645
   -0.0718      0.0396
    0.0654      0.1805
    0.0234      0.3254
   -0.0927     -0.4165
    0.1062      0.0502
   -0.2672     -0.0284
   -0.0096      0.2096
    0.0249      0.4140
   -0.1469     -0.0735
    0.2590      0.4603
   -0.5973     -1.1669
   -0.0635      0.0797
   -0.3756     -0.0761
   -0.1678      0.0178
    0.0149     -0.1067
   -0.0199     -0.2615
    0.0624     -0.6269
   -0.1234     -0.1685
   -0.0278      0.2077
    0.0248      0.0306
   -0.0618     -0.0008
   -0.0695      0.2572
   -0.0621      0.2084
    0.0816     -0.2245
   -0.0293     -0.0333
    0.0411      0.0049
    0.0067     -0.2682
    0.0297     -0.4206
    0.0388      0.0069
    0.0281      0.0334
    0.1648      0.1504
    0.0819      0.1277
   -0.1299     -0.2165
   -0.1771     -0.1407
   -0.1540      0.0718
    0.0330      0.0817
   -0.0650      0.0135
   -0.1624      0.0070
    0.0145      0.0898
    0.1523      0.1295
    0.1105      0.2948
   -0.0566     -0.1847
   -0.1439      0.1177
   -0.2585     -0.1700
   -0.0941      0.0044
    0.0713      0.1386
    0.1195     -0.1519
    0.2123     -0.0239
    0.0106      0.0373
    0.0002      0.2261
   -0.1958      0.1857
   -0.1351      0.1804
    0.0039      0.2298
    0.0601     -0.0111
    0.0758     -0.2528
   -0.0100      0.0165
    0.1527     -0.3802
    0.0101     -0.1345
   -0.1315     -0.0607
    0.1003      0.0700
   -0.0301      0.0720
   -0.0436      0.2862
   -0.1256      0.0083
   -0.0190      0.0808
    0.1693     -0.6333
    0.0276     -0.3339
    0.3897      0.5257
    0.1215     -0.0280
   -0.0544     -0.0090
    0.0059      0.1917
    0.0771      0.1375
   -0.5684      0.8093
   -0.8364     -0.3531
    0.0248      0.1347
    0.2230     -0.0458
   -0.5288      0.3218
   -0.4851     -0.1410
   -0.0656     -0.0113
   -0.0595      0.1272
    0.0285      0.1168
   -0.0037     -0.0358
    0.0042      0.0377
   -0.1166      0.0923
    0.0219     -0.2156
    0.0551     -0.0601
   -0.0518     -0.1617
    0.0370     -0.0407
    0.1284     -0.0195
    0.0118     -0.3486
   -0.1622     -0.1115
   -0.0568     -0.1036
   -0.2883     -0.1468
    0.4729      0.7173
   -0.2035      0.2059
   -0.0654     -0.1995
   -0.0576     -0.0508
   -0.0466      0.1367
   -0.0776      0.0603
    0.1530     -0.4641
    0.1176     -0.2085
    0.0807      0.0333
   -0.0421      0.0317
   -0.1329     -0.0402
    0.1793     -0.0254
   -0.0194     -0.0970
   -0.0117     -0.1220
    0.1415     -0.2183
   -0.0170      0.2305
    0.1553     -0.0629
    0.0778     -0.5140
    0.0119     -0.0381
    0.1763      0.2035
    0.0040      0.4079
    0.0168     -0.7364
   -0.2673     -0.0007
    0.0429     -0.1396
    0.1551     -0.3247
    0.0993     -0.2081
    0.0534     -0.0905
   -0.0770      0.2335
    0.0497     -0.3880
   -0.0314     -0.0443
   -0.0541     -0.0859
    0.0555      0.0268
   -0.0179     -0.0655
   -0.0072      0.0218
    0.0702     -0.0324
   -0.0031     -0.0974
   -0.0667      0.2734
   -0.0505     -0.2618
    0.0262     -0.0981
   -0.0416     -0.0212
   -0.1368     -0.3650
    0.0469     -0.0852
   -0.0224      0.0158
   -0.0279      0.0544
   -0.1739      0.1088
   -0.0122      0.3739
   -0.0536     -0.1724
   -0.0779      0.2834
   -0.0240      0.0259
   -0.0156     -0.0528
   -0.0359     -0.1861
    0.1054     -0.0585
    0.1088     -0.0470
    0.0967     -0.0944
    0.0125     -0.1159
   -0.0057      0.0888
   -0.3352      0.6225
    0.0189     -0.1398
   -0.1674     -0.0460
    0.2819     -0.2662
    0.0554      0.0276
    0.0304     -0.0262
   -0.2076      0.2643
   -0.0494      0.3674
   -0.1395     -0.0423
    0.0050      0.2537
   -0.0050     -0.1280
   -0.0146     -0.0681
    0.0115     -0.1182
    0.7421     -1.5414
    0.4167      0.1776
    0.0051     -0.0621
   -0.0796     -0.3967
   -0.0441     -0.0445
   -0.0577      0.2583
    0.0362     -0.1610
   -0.0666     -0.0091
    0.1120      0.1464
   -0.1002     -0.1919
   -0.1061     -0.1794
   -0.0763     -0.1048
    0.0009     -0.1615
   -0.2306     -0.0477
   -0.0562     -0.1379
    0.0968     -0.0411
   -0.1021     -0.2557
   -0.0326     -0.0858
    0.0738     -0.0164
   -0.0962     -0.1776
    0.4948      0.1262
   -0.0375     -0.1832
   -0.0203     -0.0536
    0.2811     -0.1377
   -0.2271      0.0828
   -0.1337     -0.2825
    0.0156     -0.0343
   -0.2284     -0.0769
   -0.1530      0.0537
   -0.0733      0.1262
   -0.0362      0.3402
   -0.1435     -0.6303
    0.0432      0.2040
   -0.2426      0.3876
    0.0005     -0.3684
   -0.0547     -0.0890
    0.1284     -0.1531
   -0.1791     -0.1932
    0.0788      0.0978
    0.1134     -0.0706
    0.0221      0.1903
   -0.1031      0.1126
    0.1018      0.0202
    0.0126     -0.3089
    0.0165      0.2330
    0.0839      0.0889
   -0.2456      1.2395
   -0.0752      0.0012
   -0.0328      0.1849
    0.0655      0.0719
   -0.0423     -0.2724
    0.0067      0.1229
    0.0692      0.0808
   -0.0280     -0.2289
   -0.1023     -0.0223
    0.1841     -0.3982
   -0.1118      0.1863
   -0.0226      0.1275
   -0.0530     -0.1302
    0.1167      0.0272
   -0.0465      0.1908
    0.0357     -0.1805
    0.0137     -0.0354
   -0.0164     -0.0204
    0.0937      0.0165
    0.0614      0.0305
   -0.0682     -0.0073
   -0.0414      0.2181
   -0.1308      0.1175
   -0.0238      0.0648
   -0.0005      0.0409
    0.0369     -0.0137
   -0.1517     -0.0890
   -0.0544      0.0530
   -0.0062      0.1502
   -0.0725      0.6217
    0.3427     -0.0601
    0.0161      0.0946
    0.0969      0.0601
    0.1113      0.1136
    0.7455     -0.9619
    0.0479     -0.4553
    0.0637     -0.3659
    0.0728     -0.4344
    0.0847      0.0851
    0.1461      0.0208
   -0.2701      0.4274
    0.0096     -0.0035
    0.2925     -0.2880
   -0.7359     -1.8290
   -0.5090     -0.3186
    0.1034     -0.1955
    0.0266     -0.1224
    0.1245      0.0181
    0.0765     -0.0240
    0.0188      0.0464
   -0.0849     -0.2234
    0.1010      0.1652
    0.0064     -0.0410
   -0.0366      0.2278
    0.0236     -0.0811
   -0.1572      0.0487
    0.0403     -0.0186
    0.0366      0.1455
    0.0238      0.1193
   -0.0447      0.1838
   -0.0327     -0.0522
   -0.1175     -0.0996
   -0.7506      0.8375
   -0.1291     -0.1295
    0.0506     -0.4534
   -0.0615     -0.0183
    0.0663      0.0578
   -0.1645      0.2555
   -0.1191     -0.1454
    0.0339     -0.1453
   -0.0123     -0.0511
   -0.0345     -0.1868
   -0.0454     -0.2317
    0.0119     -0.0767
    0.0958      0.3979
    0.1630      0.4696
    0.4214      0.4040
    0.0212     -0.0575
    0.1686      0.0034
    0.4368     -1.8109
    0.0910     -3.1412
   -0.0913      0.7857
    0.0266      0.0756
   -0.1874      0.0384
    0.0149     -0.0461
   -0.0982      0.1427
    0.1338      0.3505
    0.0790      0.1769
   -0.0028      1.7172
    0.0557      0.3751
    0.5595      1.4898
    0.1044     -0.8325
    0.0883      0.0577
   -0.1281      0.7596
   -0.4940      0.7384
   -0.0557     -0.4648
    0.0111     -0.0436
    0.0307      0.1998
    0.0715      0.1199
   -1.4656      3.8971
    0.1219      0.2137
    0.3311      0.0026
    0.2214      0.3975
    0.0176     -0.0150
    0.3522      0.0302
    0.0508     -0.1010
   -0.0258     -0.0052
   -0.0316      0.1443
   -0.1035      1.2232
   -0.6219     -1.5268
   -0.0809     -0.1454
   -0.0348      0.0646
    0.1388      0.1964
    4.0853     -6.1416
    0.0271      0.0726
    0.0542     -0.0804
   -0.0294     -0.1928
    0.1606      0.1756
   -0.1181     -0.1843
    0.1596      0.0469
    0.0026     -0.0860
    0.3594      0.0341
   -0.0204     -0.0311
    0.1563     -0.0340
    0.0832     -0.1752
   -0.0647     -0.0541
   -0.0745     -0.0913
    0.1788     -0.0640
    0.1156     -0.2156
   -0.0488      0.0584
    0.0641     -0.0336
    0.1529      0.0008
   -0.1847      0.0865
   -0.0001      0.0678
    0.0057     -0.0779
    0.2890      0.2245
    0.0305      0.2664
    0.0564      0.1387
    0.1958     -0.2962
   -0.3223     -0.2639
   -0.1148     -0.2083
    0.0983     -0.0889
   -0.0656     -0.0041
   -0.0867      0.1864
   -0.0380      0.0964
   -0.0109      0.1278
   -0.1695     -0.1718
    0.0583      0.1621
    0.0071     -0.1665
    0.2304      0.0215
   -0.0818     -0.0634
   -0.0716     -0.0220
   -0.0376      0.1855
   -0.1251     -0.2475
    0.2739      0.2025
    0.0759     -0.0125
    0.1351     -0.0893
   -0.1990     -0.0882
   -0.0234      0.1800
   -0.0352      0.2352
    0.1927      0.1676
   -0.1344      0.2185
    0.0537      0.1841
   -0.1497     -0.0576
    0.0473     -0.0369
    0.0560      0.1328
   -0.3812      0.8294
    0.0034      0.2089
   -0.1621     -0.0141
   -0.1035     -0.1313
    0.0032     -0.0300
   -0.0829      0.0289
   -0.4121      0.2739
   -0.1652     -0.4499
   -0.0274      0.3386
    0.0670     -0.1966
    0.2125     -0.6495
    0.0942     -0.0638
   -0.2129      0.2537
   -0.1681     -0.0838
    0.1026      0.1267
    0.0407     -0.0383
    0.0132     -0.0417
   -0.1659     -0.3254
    0.0083      0.1224
   -0.1148      0.2457
   -0.1984      0.0579
    0.0646     -0.1146
    0.0188      0.1926
   -0.0248      0.0710
    0.0750      0.2128
    0.1033      0.0482
   -0.0621     -0.1149
   -0.1182      0.2995
    0.0856     -0.4442
    0.0159      0.0935
    0.2170      0.1834
    0.4160     -0.0083
   -0.0495     -0.0550
   -0.0116      0.2895
   -0.1410     -0.1140
    0.0303      0.1813
    0.0862     -0.0390
    0.0059     -0.7868
    0.1733     -0.1710
    0.2355     -0.1399
    0.0047     -0.2000
    0.1992     -0.1937
    0.0537     -0.0917
   -0.2055     -0.2296
    0.3348     -0.2527
    0.0829     -0.1295
    0.0349      0.0348
    0.0054     -0.1234
   -0.0157      0.0389
   -0.0730      0.1019
    0.1095      0.1506
   -0.0195     -0.2547
    0.0348     -0.1326
    0.0144     -0.0365
    0.2853      0.1582
    0.0605     -0.2658
    0.0635     -0.0824
   -0.0503      0.0789
   -0.0263     -0.0577
    0.5929     -0.3885
    0.0772      0.1329
    0.0604     -0.0089
    0.0026     -0.1024
    0.0002     -0.1317
   -0.1226     -0.6679
    0.0411     -0.3958
   -0.0442     -0.2165
   -0.0081     -0.0755
   -0.0338     -0.1615
    0.0190     -0.5169
    0.0645     -0.0280
    0.1192     -0.1065
   -0.0500     -0.0541
    0.0278     -0.0203
    0.0089     -0.0497
    0.1024     -0.3808
   -0.0511     -0.1714
   -0.1225     -0.6784
   -0.0098      0.4236
   -0.1101     -0.1929
   -0.0808      0.0519
    0.0854     -0.1455
    0.0953      0.2037
   -0.0975     -0.2225
    0.0570      0.1773
    0.1316     -0.2313
   -0.3125     -0.3518
   -0.0385      0.2469
   -0.0442     -0.1060
    0.0471      0.0041
   -0.0339      0.2486
    0.1120      0.1586
   -0.1206      0.1058
   -0.1812      0.0697
    0.6684      0.8593
    0.0442     -0.0081
    0.0306      0.1086
   -0.0384      0.1301
    0.0755     -0.5508
    0.0618      0.0572
   -0.0016     -0.0249
   -0.1298      0.1531
   -0.3114     -1.2811
    0.0173      0.1076
    0.0545     -0.3164
    2.5824     -0.7703
    0.4261      0.1419
    0.0098      0.1047
    0.1786     -0.2095
    0.0870     -0.0587
    0.0522      0.1026
   -0.0129      0.0157
   -0.4219     -0.2455
   -0.1081      0.0321
   -0.2561      0.2491
    0.2253     -0.0645
    0.0866     -0.0142
    0.1683      0.2571
    0.0548      0.1591
    0.0873      0.1682
    0.7777      0.3549
   -0.1598     -0.1388
    0.0327     -0.0851
   -0.1917      0.0040
    0.1404     -0.1724
    0.0302     -0.1502
    0.0457      0.0189
    0.1387     -0.1243
    0.0134      0.2832
    0.0996     -0.0412
    0.1237     -0.0061
   -0.0541      0.1336
   -0.0631      0.0306
    0.0549     -0.5296
    0.0656     -0.1325
   -0.6455     -0.8301
    0.0425     -0.0031
    0.2340     -0.0760
    0.0826     -0.2755
   -0.1384     -0.0614
    0.0301     -0.0739
    0.0830     -0.0009
   -0.2032      0.0289
   -0.0718      0.0045
   -0.0793     -0.1488
   -0.4185      0.0572
   -0.0023     -0.0030
   -0.0578     -0.0210
    0.0103     -0.0489
    0.0654     -1.1808
    0.0005      0.0065
   -0.0045     -0.0276
    0.0055     -0.0256
    0.0202      0.0337
    0.0709      0.0245
   -0.0013     -0.1072
    0.1105      0.0126
    0.0221     -0.0150
    0.0399     -0.0194
    0.0355     -0.0222
    0.1104     -0.2235
   -0.2209      0.7257
   -0.3495      0.1242
    2.4849     -3.0318
   -0.1529      0.3190
    0.1085     -0.2178
    0.0745      0.0985
   -0.0309      0.2166
    0.0503     -0.1751
    0.5563      0.2599
   -0.1601     -0.0430
   -0.0998     -0.1604
    0.0194     -0.0346
    0.2446     -0.3494
   -0.1028     -0.1660
   -0.1812      0.5347
    0.2104     -0.2435
    0.0334      0.0170
    0.0910     -0.1642
   -0.2372     -0.2227
   -0.5156      0.3076
   -0.0783      0.0554
    0.6292     -0.4195
    0.0800     -0.9288
   -0.1919      0.2257
    0.0428      0.3066
    0.0777      0.0129
   -0.8565      0.5042
    2.9037     -7.6708
    0.1136     -0.2571
    0.0027     -0.1468
    0.1548     -0.0848
    0.0175      0.2167
    0.2826      0.3305
   -0.0794     -0.2267
   -0.0565      0.0968
   -0.0829      0.1571
   -0.0543     -0.0697
    0.0558      0.1456
    0.0129     -0.1396
   -0.2248      0.9577
    0.0916     -0.2210
    0.1179     -0.5216
   -0.1100     -0.1244
   -0.0780      0.0232
    0.0791     -0.0482
    0.7686     -1.3456
    0.0522     -0.3982
    0.0435     -0.1590
   -0.0492     -0.0129
   -0.8443      0.9914
   -0.0144     -0.1748
    0.0794     -0.5642
    0.0545      0.0643
   -0.2918      0.0689
   -0.0406     -0.0518
   -0.0560      0.0714
   -0.0047      0.1893
    0.0804     -0.0931
   -0.0979     -0.1420
   -0.0321     -0.0054
   -0.2886     -0.6446
   -0.1410     -0.1174
   -0.0248     -0.0301
    0.0772      0.0089
   -0.0414      5.2614
   -0.1129      0.3733
   -0.0252      0.1442
   -0.3266     -0.3507
   -0.0031      0.0108
   -0.2756      0.0220
   -0.0222      0.1052
    0.0028      0.2755
   -0.1488     -0.3044
    0.0437     -0.0499
    0.0296     -0.0959
    0.0236      0.0589
    0.0150      0.0698
    0.1098     -0.3319
   -0.0978     -0.2254
   -0.0280      0.1048
   -0.0377      0.2286
   -0.1170     -0.1165
    0.0276      0.0789
    0.0417     -0.0436
    0.0525     -0.3944
    0.0848     -0.0449
   -0.2301      0.1086
   -0.0315     -0.0936
   -0.0521      0.0358
    0.0591     -0.0211
    0.0757     -0.0616
    0.0717      0.0215
   -0.4067      0.0112
   -0.0413     -0.0842
    0.1511     -0.0656
    0.1912     -0.0137
    0.0882      0.0950
   -0.0127      0.1539
    0.0897     -0.0714
   -0.2089      0.1333
   -0.3247      0.6405
   -0.0557     -0.0485
    0.0141     -0.1727
   -0.1254     -0.0943
    0.2488      0.2867
    0.0401     -0.3214
   -0.2561     -0.9910
    0.0056      0.1977
   -0.1998     -0.0870
   -0.0398      0.1001
    0.0813      0.8261
   -0.0567     -0.1211
   -0.0006      0.1122
   -0.0311      0.1624
   -0.0410     -0.0992
    0.0839      0.1490
    0.0943      0.2744
   -0.1194      0.5969
    0.0615      0.1130
    0.0293      0.0582
    0.0013     -0.5179
    1.9071      0.4137
   -0.0604      0.1181
    0.1656     -0.2736
    0.6265      1.6115
    0.0765     -0.5192
    0.1757     -0.4032
    0.1894     -0.2599
   -0.2503      0.0860
   -0.2403      0.0821
   -0.2210     -0.2518
    0.2289      0.0121
    0.0384     -0.5241
    0.0736     -0.0837
    0.1415      0.0007
   -1.3231      1.4778
    0.0213     -0.0845
   -0.3171      0.3703
   -0.3183     -1.9908
   -0.0676      0.0837
   -0.2514      0.0383
   -0.0655      0.2304
   -0.0664     -0.0937
   -0.1470     -0.7695
   -0.0832     -0.0444
   -0.1002     -0.3007
   -0.0313     -0.0428
    2.3433      0.4575
   -0.2683     -0.0207
    0.0455      0.1909
   -0.0463      0.6728
    0.2593      0.1531
    0.2730      1.1170
   -0.0545      0.6300
   -0.1136     -0.0062
    0.0311     -0.2163
   -0.1522      0.3733
    0.1220      0.7077
   -0.0147      0.4865
    0.0054     -0.0805
    0.0971     -0.3440
   -0.2416      0.7983
    0.0510      0.7402
    0.0182      0.0131
   -0.0403      0.1689
    0.2700      0.3501
    0.2270     -0.3174
   -0.0512      0.0690
    0.3576      0.9190
    0.2575      0.0599
   -0.0785     -0.1352
   -0.2177      0.1971
   -0.0453     -0.6404
   -0.0299      0.0632
    0.2568     -0.3895
    0.3158      0.0661
    0.3716     -0.2415
    0.3762     -1.3379
   -0.0853      0.0072
   -0.0365     -0.1716
    0.0763      0.3375
    0.1653      0.3631
   -0.6154     -2.2766
   -0.0046     -0.7457
   -0.0222     -1.1409
   -0.9258     -0.0040
   -0.5759      0.8664
   -0.1165     -0.5425
   -0.3678     -0.3801
   -0.0725     -0.0862
   -0.0498     -0.0841
    0.4863      1.6583
   -0.2153      0.6111
   -0.0341      0.0949
   -1.2790    -14.0148
    0.1506     -0.7383
    0.0042     -0.0930
    0.2309     -0.5421
    0.0881     -0.0344
    0.0457     -0.0049
    0.0359     -0.0907
   -0.2155     -0.1547
    0.0666      0.0638
   -0.9034      4.4418
   -0.7108     -1.4420
   -0.0193      0.1201
    0.0562      0.1850
   -0.1911      0.1589
   -0.1999      0.4619
   -0.0769      0.5428
    0.1259      0.1473
    0.1981     -0.4732
   -0.2378     -0.2496
    0.0560     -0.2570
    0.0327      0.0585
   -0.2595     -0.0192
   -0.1402     -0.0419
   -0.1970     -0.1016
    0.0985     -0.4042
   -0.2525      0.9228
    0.0283     -0.0079
   -0.0558      0.2333
    3.8571     -3.8224
    0.1939      0.7610
    0.2524     -0.2786
    0.0299      0.0867
   -0.0793     -0.2348
   -0.2220     -0.2476
    0.0555     -0.1957
    0.1043      0.1611
    0.0301     -0.1657
    0.0261     -0.0708
   -0.0767     -0.2354
   -0.1368     -0.0235
    0.1298     -0.2256
  113.8532     30.9622
   -0.0969     -0.1707
   -0.2480     -0.3596
    0.0946     -0.0447
    0.0456     -0.0542
   -0.0270     -0.0172
    0.0321     -0.1786
    0.0978      0.1730
   -0.0517     -0.0508
   -0.0572     -0.0187
   -0.1582     -0.0344
    0.0844     -0.3938
   -0.0392     -0.0793
   -0.1879      0.3251
    0.0165      0.0508
   -0.0457      0.0303
    0.1431     -0.0678
   -0.0322      0.1516
    0.0487     -0.7866
   -0.0374      0.2751
    0.0731     -0.1446
    0.0526     -0.0175
    0.0440      0.0970
    0.0643     -0.0384
   -0.0430      0.0638
   -0.0902     -0.1233
    0.5446      0.2364
   -0.2504     -0.4909
   -0.0011      0.0989
    0.1039     -0.2686
   -0.1420     -0.4169
   -0.1481     -0.2100
   -1.7636     -1.0252
   -0.0362      0.0019
   -0.0033     -0.1812
    0.1281      0.2068
    0.0671     -0.2018
    0.0284     -0.2144
    0.0136     -0.2223
    0.0012     -0.0315
   -0.0894      0.0312
    0.0183      0.1430
    0.1132      0.0749
    0.0072      0.1000
    0.0385     -0.1841
   -0.0640     -0.0562
   -0.1861      1.6723
    0.1520     -0.0744
   -0.0144     -0.0498
    0.4615     -0.4943
    0.5314     -0.8572
   -0.0934     -0.1848
    0.2219      0.2824
   -0.5601     -1.4623
    0.1234      0.1567
   -0.0141      0.0241
    0.3640     -0.7354
    0.2189     -0.1744
    0.2114     -0.1134
   -0.1185     -0.0423
    0.0590     -0.0462
   -0.1887      0.0794
    0.3838     -0.2711
    0.1319      0.3100
    0.3034      1.9614
   -0.1124     -0.0319
    0.2692      0.1517
   -0.2237     -0.6935
    0.0772     -0.2526
   -0.1095     -0.0095
    0.0739      0.6047
    0.1176     -0.2800
    0.0333     -0.0405
   -0.2043      0.0414
   -0.6246      0.9171
   -1.0104     -0.1971
    0.2436      0.4754
   -0.1124      0.1693
   -0.0862     -0.2187
   -0.2289      0.1649
    0.3033     -0.4492
   -0.1380      0.1735
   -0.0165      0.3272
   -0.7353     -0.0664
   -0.0967      0.0480
   -0.0235      0.0242
   -0.5212      0.6961
   -0.5000     -0.3649
   -0.1596      0.3075
    0.0814      0.1987
    0.0312     -0.1548
   -1.8615      3.2110
   -0.0160      0.3767
   -0.0382     -0.1391
    0.0144     -0.0504
   -0.7281      0.1510
   -0.1554     -1.1024
    0.1466     -0.0063
   -0.3954      0.2902
   -1.0341     -1.0493
   -0.0295     -0.0739
   -0.0606     -0.0497
    0.0439     -0.1528
    0.0082      0.0233
   -0.0616      0.0425
    0.0177      0.2018
   -0.1006     -0.0045
    0.0432     -0.0109
    0.0586     -0.0725
    0.3408     -0.4908
   -0.3150     -0.3963
   -0.0734      0.1961
   -0.1258     -0.1958
   -0.0836     -0.0115
   -0.1640      1.4052
    0.4629     -0.0041
    0.0159      0.0980
   -0.2108      0.1252
   -0.0229     -0.0528
    0.1071     -0.0502
    0.0181      0.0660
    0.4062     -0.1385
    0.0120     -0.1800
    0.1479     -0.3483
    0.1509     -0.3644
    0.1960     -0.1553
    0.0860     -0.2003
    0.1756     -0.1802
   -0.0042     -0.0703
    0.2566     -0.1745
    0.0017      0.1921
   -0.0967     -0.0304
   -0.0811      0.1130
   -0.0733     -0.0331
    0.1102      0.1935
   -0.1383      0.0530
   -0.0790      0.0709
   -0.0969      0.0238
   -0.1344      0.0698
   -0.2893      0.2769
   -0.0849      0.0692
   -0.0764      0.1021
   -0.1100      0.1693
    0.0740     -0.1946
    0.0800     -0.2058
    0.0065      0.1047
    0.1695      0.0521
   -0.0689      0.0181
   -0.0132     -0.0608
   -0.0262      0.0948
   -0.0243      0.0247
   -0.2475      0.1075
    0.1342     -0.0011
    0.0793     -0.0131
    0.2423     -0.2082
    0.0052     -0.0877
   -0.5832      0.3645
   -0.0118     -0.2026
   -0.0260     -0.3289
   -0.0429     -0.1763
   -0.0911      0.2155
    0.0712     -0.1962
    0.0945      0.3686
    0.0006      0.0744
   -0.0363     -0.2213
    0.1727      0.0369
   -0.0887      0.1382
    0.1653     -0.1445
    0.0381     -0.0679
   -0.1015      0.1191
    0.0719      0.0023
    0.2737     -0.0432
   -0.3364     -0.0281
   -1.8256      0.4123
    0.1317     -0.1500
   -0.2049     -0.1120
   -0.0162      0.2937
   -0.0636      0.1155
   -0.1385      0.0705
   -0.1486      0.0741
    0.2625     -1.1224
   -0.1519     -0.1785
   -0.3386     -0.1492
   -0.2058     -0.2209
   -0.4783     -0.0341
    0.0989      0.1265
    0.0775     -0.3170
   -0.1004      0.0406
    0.1453      0.1839
   -0.5727     -0.9742
   -0.1551      0.1887
   -0.0495      0.0828
    0.0933      0.3119
    0.4067      0.9491
   -0.1195      0.2497
    0.0944      0.3115
   -0.1012      0.3688
   -0.0408      0.2900
   -0.0258      0.0995
   -0.1742      0.0426
    0.1119      0.2308
   -0.0680      0.1170
   -0.2417      0.1275
   -0.6909     -0.4530
    0.1409     -0.1971
   -0.0827      0.0289
    0.0065     -0.0244
   -0.1139      0.0868
   -0.0451      0.0948
   -0.0773     -0.0684
    0.0311     -0.1362
   -0.2107      0.0235
    2.4445      0.0010
    0.8902      0.2827
    0.2773      0.2825
    0.2087     -0.0638
    0.1440     -0.0515
   -0.0567     -0.2040
   -0.0666     -0.1147
   -0.0652     -0.0241
   -0.1245     -0.0936
   -0.3290     -1.1536
   -0.1455     -0.1026
   -0.0929     -0.7152
   -0.1485     -0.2760
    0.2338     -0.2397
   -0.0305      0.0323
    0.0760     -0.2353
    0.0806     -0.2427
    0.0171      0.0749
    0.5143     -0.0285
   -0.0925      0.0089
   -0.1367      0.1092
   -0.0109     -0.0894
    0.1342     -0.1836
   -0.1154      0.1435
   -0.1605      0.0162
   -0.0211      0.0497
    0.0635     -0.1815
    0.1614     -0.0700
    0.0588     -0.0084
   -0.0663      0.0001
   -0.0681      0.1295
   -0.1112     -0.1044
    0.0822     -0.0309
   -0.0142      0.0537
    0.1137      0.1948
   -0.0495      0.1101
   -0.0049      0.1659
    0.0107      0.0783
   -0.1024     -0.0543
   -0.0251      0.0135
   -0.0738     -0.0430
    0.2147     -0.2574
    0.5609      0.2815
    0.2452      0.1646
    0.0977     -0.0510
   -0.0764     -0.1337
   -0.0539      0.1384
    0.0313     -0.1988
    0.1822     -0.0658
   -0.7155     -0.1313
   -0.1559      0.2055
    0.4216     -0.2902
    0.0201     -0.0720
    0.0850     -0.1513
   -0.0105      0.1079
    0.0097     -0.3515
    0.0853     -0.0371
    0.0311      0.3410
    0.1481     -0.1503
    0.7961     -0.4470
   -0.0228     -0.3209
   -0.1272     -0.1152
   -0.1678      0.3976
    0.0037     -0.2646
   -0.0328     -0.0683
   -0.0672      0.1110
    0.0445     -0.1094
    0.0447     -0.0636
    0.2426      0.1909
    0.1407     -0.3059
    0.0931      0.1067
   -0.0847     -0.0021
   -0.0387     -0.1204
   -0.0379      0.0088
    0.0127      0.1041
   -0.0512     -0.0844
   -0.1541     -0.0381
    0.1507     -0.2180
    0.3799     -0.1760
   -0.0654      0.0701
    0.1385     -0.0216
    0.0936     -0.0711
   -0.4726     -0.3887
    0.0072      0.0106
   -0.1949     -0.3990
   -0.1083      0.2924
   -0.1344     -0.1877
    0.0397      0.3560
   -0.0054      0.6930
    0.1690     -0.0967
   -0.0672      0.3470
   -0.1522     -0.0291
    0.0036     -0.1094
   -0.0498      0.4520
    0.1731     -0.0758
   -1.0102     -0.7905
   -0.1557      0.1769
   -0.0423     -0.0358
    0.0583      0.0560
    0.0138     -0.2674
   -0.0516     -0.2280
    0.1136     -0.1490
    0.0770     -0.1441
   -0.0573     -0.0569
    0.0535     -0.1666
    0.4631      0.1775
    0.2289      0.1255
    0.0819      0.2581
    0.0936      0.0209
   -0.2483     -0.1741
    0.6304      1.2200
    0.5572     -0.0231
    0.0662     -0.1906
    0.1813      0.3290
    0.1137      0.0462
   -0.0229     -0.0644
   -0.2630     -0.7591
   -0.0230     -0.3907
   -0.0986     -0.0494
   -0.1125     -0.1708
   -0.0541     -0.0347
