MJD,cpo_dx,cpo_dy,err_dx,err_dy
54203,0.000158,-0.00015,0.000158,0.00015
54204,0.000123,-0.000117,0.000123,0.000117
54205,0.000104,-0.000137,0.000104,0.000137
54206,9.6e-05,-0.000183,9.6e-05,0.000183
54207,9.8e-05,-0.000239,9.8e-05,0.000239
54208,0.00011,-0.000291,0.00011,0.000291
54209,0.000132,-0.000308,0.000132,0.000308
54210,0.000158,-0.000311,0.000158,0.000311
54211,0.00018,-0.000285,0.00018,0.000285
54212,0.000196,-0.000247,0.000196,0.000247
54213,0.000206,-0.000219,0.000206,0.000219
54214,0.000208,-0.00022,0.000208,0.00022
54215,0.000163,-0.000317,0.000163,0.000317
54216,0.000161,-0.000406,0.000161,0.000406
54217,0.000274,-0.000415,0.000274,0.000415
54218,0.000362,-0.000362,0.000362,0.000362
54219,0.000368,-0.000274,0.000368,0.000274
54220,0.00033,-0.000182,0.00033,0.000182
54221,0.000275,-0.000117,0.000275,0.000117
54222,0.000227,-0.000108,0.000227,0.000108
54223,0.000212,-0.000187,0.000212,0.000187
54224,0.000263,-0.0004,0.000263,0.0004
54225,0.000303,-0.000531,0.000303,0.000531
54226,0.000316,-0.00054,0.000316,0.00054
54227,0.000311,-0.000478,0.000311,0.000478
54228,0.000293,-0.000384,0.000293,0.000384
54229,0.000275,-0.000353,0.000275,0.000353
54230,0.000253,-0.000343,0.000253,0.000343
54231,0.000228,-0.000335,0.000228,0.000335
54232,0.000179,-0.000293,0.000179,0.000293
54233,0.000127,-0.000249,0.000127,0.000249
54234,9.5e-05,-0.000238,9.5e-05,0.000238
54235,9.7e-05,-0.000282,9.7e-05,0.000282
54236,0.000161,-0.000416,0.000161,0.000416
54237,0.0001,-0.000483,0.0001,0.000483
54238,-6.9e-05,-0.000469,6.9e-05,0.000469
54239,-0.000129,-0.000447,0.000129,0.000447
54240,-8.5e-05,-0.000424,8.5e-05,0.000424
54241,-1e-06,-0.000389,1e-06,0.000389
54242,9.7e-05,-0.000346,9.7e-05,0.000346
54243,0.000149,-0.000289,0.000149,0.000289
54244,0.000181,-0.000229,0.000181,0.000229
54245,0.000203,-0.000178,0.000203,0.000178
54246,0.000192,-0.000169,0.000192,0.000169
54247,0.000162,-0.000191,0.000162,0.000191
54248,0.000131,-0.000226,0.000131,0.000226
54249,0.000108,-0.000266,0.000108,0.000266
54250,0.000103,-0.000305,0.000103,0.000305
54251,0.000147,-0.000327,0.000147,0.000327
54252,0.000198,-0.000344,0.000198,0.000344
54253,0.000208,-0.000356,0.000208,0.000356
54254,0.000185,-0.000365,0.000185,0.000365
54255,0.00015,-0.000371,0.00015,0.000371
54256,0.000115,-0.000373,0.000115,0.000373
54257,0.000118,-0.000371,0.000118,0.000371
54258,0.000133,-0.000367,0.000133,0.000367
54259,0.000144,-0.000365,0.000144,0.000365
54260,0.000124,-0.000378,0.000124,0.000378
54261,8.4e-05,-0.000397,8.4e-05,0.000397
54262,4.2e-05,-0.00041,4.2e-05,0.00041
54263,4e-06,-0.000409,4e-06,0.000409
54264,-1e-05,-0.000361,1e-05,0.000361
54265,-9e-06,-0.000299,9e-06,0.000299
54266,2e-06,-0.000243,2e-06,0.000243
54267,3e-05,-0.000244,3e-05,0.000244
54268,6.7e-05,-0.000279,6.7e-05,0.000279
54269,0.000102,-0.000322,0.000102,0.000322
54270,0.000129,-0.000358,0.000129,0.000358
54271,0.000125,-0.000344,0.000125,0.000344
54272,0.000106,-0.00031,0.000106,0.00031
54273,8.2e-05,-0.000276,8.2e-05,0.000276
54274,2.7e-05,-0.000261,2.7e-05,0.000261
54275,-2.7e-05,-0.000264,2.7e-05,0.000264
54276,-4e-05,-0.000282,4e-05,0.000282
54277,1.4e-05,-0.000316,1.4e-05,0.000316
54278,0.000198,-0.000372,0.000198,0.000372
54279,3.9e-05,-0.000385,3.9e-05,0.000385
54280,5.6e-05,-0.000504,5.6e-05,0.000504
54281,0.000141,-0.000596,0.000141,0.000596
54282,0.000122,-0.000582,0.000122,0.000582
54283,6.3e-05,-0.000518,6.3e-05,0.000518
54284,-5e-06,-0.000441,5e-06,0.000441
54285,8e-06,-0.000459,8e-06,0.000459
54286,4.6e-05,-0.000504,4.6e-05,0.000504
54287,8.2e-05,-0.00054,8.2e-05,0.00054
54288,6.3e-05,-0.000445,6.3e-05,0.000445
54289,1.5e-05,-0.000304,1.5e-05,0.000304
54290,-2.6e-05,-0.000221,2.6e-05,0.000221
54291,-4.3e-05,-0.000259,4.3e-05,0.000259
54292,-1.2e-05,-0.000513,1.2e-05,0.000513
54293,1e-05,-0.000581,1e-05,0.000581
54294,1e-05,-0.000449,1e-05,0.000449
54295,-6e-06,-0.000396,6e-06,0.000396
54296,-3.2e-05,-0.000424,3.2e-05,0.000424
54297,-5.6e-05,-0.000465,5.6e-05,0.000465
54298,-7e-05,-0.000496,7e-05,0.000496
54299,-3.9e-05,-0.000436,3.9e-05,0.000436
54300,8e-06,-0.000348,8e-06,0.000348
54301,5.4e-05,-0.000272,5.4e-05,0.000272
54302,5.9e-05,-0.000292,5.9e-05,0.000292
54303,4e-05,-0.00037,4e-05,0.00037
