# MJD,    cpo_dx,    cpo_dy
51898,  0.000108, -0.000025
51899,  0.000150, -0.000219
51900,  0.000175, -0.000337
51901,  0.000188, -0.000400
51902,  0.000190, -0.000417
51903,  0.000185, -0.000398
51904,  0.000173, -0.000350
51905,  0.000158, -0.000284
51906,  0.000140, -0.000209
51907,  0.000128, -0.000177
51908,  0.000119, -0.000158
51909,  0.000110, -0.000139
51910,  0.000105, -0.000119
51911,  0.000102, -0.000102
51912,  0.000103, -0.000088
51913,  0.000125, -0.000088
51914,  0.000156, -0.000095
51915,  0.000187, -0.000106
51916,  0.000215, -0.000120
51917,  0.000235, -0.000136
51918,  0.000247, -0.000153
51919,  0.000259, -0.000172
51920,  0.000131, -0.000177
51921, -0.000006, -0.000184
51922, -0.000072, -0.000203
51923, -0.000095, -0.000227
51924, -0.000084, -0.000254
51925, -0.000047, -0.000280
51926,  0.000006, -0.000302
51927,  0.000011, -0.000276
51928,  0.000005, -0.000233
51929,  0.000008, -0.000193
51930,  0.000026, -0.000161
51931,  0.000062, -0.000145
51932,  0.000118, -0.000149
51933,  0.000217, -0.000173
51934,  0.000142, -0.000298
51935,  0.000015, -0.000393
51936, -0.000065, -0.000394
51937, -0.000097, -0.000345
51938, -0.000068, -0.000271
51939,  0.000038, -0.000197
51940,  0.000246, -0.000155
51941,  0.000406, -0.000110
51942,  0.000485, -0.000065
51943,  0.000504, -0.000030
51944,  0.000474, -0.000017
51945,  0.000404, -0.000034
51946,  0.000305, -0.000092
51947,  0.000170, -0.000216
51948,  0.000194, -0.000249
51949,  0.000248, -0.000225
51950,  0.000244, -0.000190
51951,  0.000212, -0.000152
51952,  0.000163, -0.000126
51953,  0.000109, -0.000126
51954,  0.000052, -0.000211
51955,  0.000102,  0.000084
51956,  0.000150,  0.000366
51957,  0.000146,  0.000422
51958,  0.000131,  0.000354
51959,  0.000130,  0.000218
51960,  0.000172,  0.000066
51961,  0.000303, -0.000046
51962,  0.000315, -0.000093
51963,  0.000273, -0.000128
51964,  0.000228, -0.000178
51965,  0.000176, -0.000232
51966,  0.000121, -0.000287
51967,  0.000067, -0.000337
51968,  0.000019, -0.000379
51969,  0.000008, -0.000350
51970,  0.000016, -0.000296
51971,  0.000032, -0.000242
51972,  0.000056, -0.000198
51973,  0.000084, -0.000172
51974,  0.000117, -0.000173
51975,  0.000156, -0.000214
51976,  0.000149, -0.000235
51977,  0.000127, -0.000237
51978,  0.000112, -0.000228
51979,  0.000102, -0.000213
51980,  0.000095, -0.000195
51981,  0.000093, -0.000180
51982,  0.000095, -0.000172
51983,  0.000134, -0.000144
51984,  0.000206, -0.000101
51985,  0.000277, -0.000065
51986,  0.000322, -0.000056
51987,  0.000314, -0.000093
51988,  0.000226, -0.000194
51989, -0.000014, -0.000421
51990,  0.000095, -0.000330
51991,  0.000236, -0.000195
51992,  0.000239, -0.000168
51993,  0.000178, -0.000186
51994,  0.000089, -0.000223
51995,  0.000008, -0.000250
51996, -0.000021, -0.000230
51997, -0.000057, -0.000255
51998, -0.000017, -0.000294
51999,  0.000110, -0.000316
52000,  0.000241, -0.000322
52001,  0.000309, -0.000310
52002,  0.000248, -0.000276
52003, -0.000075, -0.000190
52004, -0.000012, -0.000341
52005,  0.000129, -0.000475
52006,  0.000155, -0.000466
52007,  0.000130, -0.000391
52008,  0.000074, -0.000292
